"","X...Session","Trial","MouseIdentifier","DateAcquired","BirthDate","Trialdurations","PrePerturbationms","PostPerturbationms","HHBackstepsms","HHBacksteps","HHShortStepsms","HHShortSteps","HHLongStepsms","HHLongSteps","HHJumpsms","HHJumps","HLBackstepsms","HLBacksteps","HLShortStepsms","HLShortSteps","HLLongStepsms","HLLongSteps","HLJumpsms","HLJumps","LLBackstepsms","LLBacksteps","LLShortStepsms","LLShortSteps","LLLongStepsms","LLLongSteps","LLJumpsms","LLJumps","LHBackstepsms","LHBacksteps","LHShortStepsms","LHShortSteps","LHLongStepsms","LHLongSteps","LHJumpsms","LHJumps","HHBackstepsLeftms","HHBackstepsLeft","HHShortStepsLeftms","HHShortStepsLeft","HHLongStepsLeftms","HHLongStepsLeft","HHJumpsLeftms","HHJumpsLeft","HLBackstepsLeftms","HLBackstepsLeft","HLShortStepsLeftms","HLShortStepsLeft","HLLongStepsLeftms","HLLongStepsLeft","HLJumpsLeftms","HLJumpsLeft","LLBackstepsLeftms","LLBackstepsLeft","LLShortStepsLeftms","LLShortStepsLeft","LLLongStepsLeftms","LLLongStepsLeft","LLJumpsLeftms","LLJumpsLeft","LHBackstepsLeftms","LHBackstepsLeft","LHShortStepsLeftms","LHShortStepsLeft","LHLongStepsLeftms","LHLongStepsLeft","LHJumpsLeftms","LHJumpsLeft","HHBackstepsRightms","HHBackstepsRight","HHShortStepsRightms","HHShortStepsRight","HHLongStepsRightms","HHLongStepsRight","HHJumpsRightms","HHJumpsRight","HLBackstepsRightms","HLBackstepsRight","HLShortStepsRightms","HLShortStepsRight","HLLongStepsRightms","HLLongStepsRight","HLJumpsRightms","HLJumpsRight","LLBackstepsRightms","LLBackstepsRight","LLShortStepsRightms","LLShortStepsRight","LLLongStepsRightms","LLLongStepsRight","LLJumpsRightms","LLJumpsRight","LHBackstepsRightms","LHBackstepsRight","LHShortStepsRightms","LHShortStepsRight","LHLongStepsRightms","LHLongStepsRight","LHJumpsRightms","LHJumpsRight","RestingFrequency","LightCueFrequency","AirCueFrequency","LeavingafterCueFrequency","Restingms","OnLadderbeforeCuems","LightCuems","AirCuems","OnLadderAfterCuems","LatencyLeavingbeforeCuems","LatencyLeavingafterCuems","LeavingonLightCueFrequency","LeavingonAirCueFrequency","LeavingbeforeCueFrequency","LeavingRefusalsFrequency","GoalboxReturnsFrequency","LeavingonLightCue","LeavingonAirCue","LeavingbeforeCue","LeavingRefusals","GoalboxReturns","DateAcquired1","Trialtype","Sex","Genotype","AnimalID","SumShortInvalidPerc","SumShortValidPerc","SumLongInvalidPerc","SumLongValidPerc","SumJumpInvalidPerc","SumJumpValidPerc","SumBackInvalidPerc","SumBackValidPerc","Missteps","SumShortInvalidms","SumShortValidms","SumLongInvalidms","SumLongValidms","SumJumpInvalidms","SumJumpValidms","SumBackInvalidms","SumBackValidms","Misstepsms"
"1",1,1,2817,"23/10/2017 10:02","11/06/2017",48.46,528,121,490.2,26.95,490.1,19.86,319.8,9.93,255,4.96,675,4.96,1247.9,5.67,238.3,5.67,248.3,2.13,404,0.71,NA,0,598,0.71,NA,0,479.6,13.48,226.5,1.42,221,3.55,NA,0,495.5,27.12,588.7,25.42,421.3,6.78,45,1.69,491.5,3.39,3114,3.39,197.8,8.47,349.5,3.39,404,1.69,NA,0,NA,0,NA,0,692,11.86,64,1.69,266.7,5.08,NA,0,486.4,26.83,376.5,15.85,279.2,12.2,290,7.32,748.4,6.1,625.8,7.32,305.7,3.66,46,1.22,NA,0,NA,0,598,1.22,NA,0,355.7,14.63,389,1.22,152.5,2.44,NA,0,1,1,1,1,9243,NA,3001,1196,35018,NA,4197,NA,1,NA,NA,NA,0,100,0,0,0,3,1,1,"CE",16,5.67,21.28,6.38,13.48,2.13,4.96,5.67,40.43,14.18,1247.9,716.6,836.3,540.8,248.3,255,1079,969.8,NA
"2",1,2,2817,"23/10/2017 10:02","11/06/2017",62.99,405,627,54,10,79.4,70,171,10,37,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,54,11.11,71.2,66.67,171,11.11,37,11.11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,129,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,2,2,10932,NA,3001,18360,6171,NA,3734,NA,NA,NA,NA,1,0,0,0,0,100,3,1,1,"CE",16,0,70,0,10,0,10,0,10,0,NA,79.4,NA,171,NA,37,NA,54,NA
"3",1,3,2817,"23/10/2017 10:02","11/06/2017",24.7,206,696,276,6.45,264.2,38.71,213.3,9.68,177,3.23,146,3.23,101.5,6.45,218.3,9.68,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,59,3.23,221.2,19.35,NA,0,365,6.67,248,26.67,NA,0,177,6.67,146,6.67,NA,0,218.3,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,209.8,33.33,NA,0,187,6.25,272.3,50,213.3,18.75,NA,0,NA,0,101.5,12.5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,59,6.25,278,6.25,NA,0,1,1,1,1,8903,NA,3001,8390,4409,NA,11391,NA,1,NA,NA,NA,0,100,0,0,0,3,1,1,"CE",16,6.45,41.94,9.68,29.03,0,3.23,3.23,6.45,16.13,101.5,323.2,218.3,434.5,NA,177,146,276,NA
"4",1,4,2817,"23/10/2017 10:02","11/06/2017",35.7,NA,NA,207.8,11.43,349.7,68.57,441,8.57,NA,0,127,2.86,NA,0,NA,0,371,2.86,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,376,2.86,740,2.86,254.7,15.79,325.8,68.42,441,15.79,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,67,6.25,377.9,68.75,NA,0,NA,0,127,6.25,NA,0,NA,0,371,6.25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,376,6.25,740,6.25,2,1,1,1,9225,6576,3001,649,7022,8285,3650,NA,NA,1,NA,NA,0,0,100,0,0,3,1,1,"CE",16,0,68.57,0,11.43,2.86,2.86,2.86,11.43,2.86,NA,349.7,NA,817,371,740,127,207.8,NA
"5",1,5,2817,"23/10/2017 10:02","11/06/2017",15.05,NA,NA,65.5,13.79,180.6,34.48,218.6,17.24,207,3.45,58,3.45,207,3.45,290.3,10.34,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,143,3.45,271.7,10.34,NA,0,59,13.33,148,33.33,238,20,NA,0,58,6.67,207,6.67,255,6.67,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,269,13.33,NA,0,72,14.29,213.2,35.71,189.5,14.29,207,7.14,NA,0,NA,0,308,14.29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,143,7.14,277,7.14,NA,0,1,1,1,1,8122,NA,3001,318,3608,NA,3319,NA,1,NA,NA,NA,0,100,0,0,0,3,1,1,"CE",16,3.45,37.93,10.34,27.58,0,3.45,3.45,13.79,13.79,207,323.6,290.3,490.3,NA,207,58,65.5,NA
"6",1,6,2817,"23/10/2017 10:02","11/06/2017",18.67,149,147,NA,0,205.3,73.08,206.5,7.69,NA,0,NA,0,258,7.69,240,3.85,NA,0,NA,0,NA,0,NA,0,NA,0,46,3.85,NA,0,212,3.85,NA,0,NA,0,209.5,84.62,264,7.69,NA,0,NA,0,185,7.69,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,199.4,61.54,149,7.69,NA,0,NA,0,331,7.69,240,7.69,NA,0,NA,0,NA,0,NA,0,NA,0,46,7.69,NA,0,212,7.69,NA,0,1,1,1,1,10854,NA,3001,566,4250,NA,3567,NA,1,NA,NA,NA,0,100,0,0,0,3,1,1,"CE",16,7.69,73.08,3.85,11.54,0,0,0,3.85,11.54,258,205.3,240,418.5,NA,NA,NA,46,NA
"7",1,7,2817,"23/10/2017 10:02","11/06/2017",17.91,232,183,89.5,8,194.4,56,237.8,24,NA,0,NA,0,NA,0,249,4,161,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,206,4,NA,0,NA,0,210.8,50,232.8,40,NA,0,NA,0,NA,0,249,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,89.5,13.33,185.2,60,248,13.33,NA,0,NA,0,NA,0,NA,0,161,6.67,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,206,6.67,NA,0,1,1,1,1,11216,NA,3001,173,3519,NA,3174,NA,1,NA,NA,NA,0,100,0,0,0,3,1,1,"CE",16,0,56,4,28,4,0,0,8,8,NA,194.4,249,443.8,161,NA,NA,89.5,NA
"8",1,8,2817,"23/10/2017 10:02","11/06/2017",15.79,139,233,103.5,6.9,203.8,55.17,172.8,17.24,NA,0,NA,0,NA,0,334,10.34,NA,0,NA,0,NA,0,NA,0,NA,0,129,6.9,123,3.45,NA,0,NA,0,103.5,12.5,204.7,56.25,126.7,18.75,NA,0,NA,0,NA,0,218,6.25,NA,0,NA,0,NA,0,NA,0,NA,0,108,6.25,NA,0,NA,0,NA,0,NA,0,202.6,53.85,242,15.38,NA,0,NA,0,NA,0,392,15.38,NA,0,NA,0,NA,0,NA,0,NA,0,150,7.69,123,7.69,NA,0,NA,0,1,1,1,1,8748,NA,3001,286,3758,NA,3287,NA,1,NA,NA,NA,0,100,0,0,0,3,1,1,"CE",16,0,58.62,10.34,17.24,0,0,0,13.8,10.34,NA,326.8,334,172.8,NA,NA,NA,232.5,NA
"9",1,9,2817,"23/10/2017 10:02","11/06/2017",20.01,201,218,104,4.35,129.8,26.09,209,43.48,NA,0,NA,0,NA,0,148,13.04,NA,0,NA,0,NA,0,NA,0,NA,0,73,8.7,NA,0,189,4.35,NA,0,NA,0,251,20,187.3,40,NA,0,NA,0,NA,0,184,20,NA,0,NA,0,NA,0,NA,0,NA,0,91,10,NA,0,189,10,NA,0,104,7.69,69.3,30.77,223.5,46.15,NA,0,NA,0,NA,0,76,7.69,NA,0,NA,0,NA,0,NA,0,NA,0,55,7.69,NA,0,NA,0,NA,0,1,1,1,1,10775,NA,3001,410,5823,NA,3411,NA,1,NA,NA,NA,0,100,0,0,0,3,1,1,"CE",16,0,26.09,13.04,47.83,0,0,0,13.05,13.04,NA,129.8,148,398,NA,NA,NA,177,NA
"10",1,10,2817,"23/10/2017 10:02","11/06/2017",97.83,267,99,271.7,37.1,309.9,14.52,232,9.68,353.7,4.84,234,4.84,480,3.23,296.8,6.45,NA,0,190,1.61,168,1.61,NA,0,NA,0,360,8.06,85,1.61,183.7,4.84,926,1.61,273.2,31.43,315.1,20,224,11.43,204,5.71,218.5,5.71,415,2.86,396,2.86,NA,0,190,2.86,168,2.86,NA,0,NA,0,150.7,8.57,NA,0,162,5.71,NA,0,270.3,44.44,291.5,7.41,248,7.41,653,3.7,265,3.7,545,3.7,263.7,11.11,NA,0,NA,0,NA,0,NA,0,NA,0,674,7.41,85,3.7,227,3.7,926,3.7,1,2,3,2,10898,NA,3001,21770,7809,NA,3435,NA,NA,NA,1,1,0,0,0,100,100,3,1,1,"CE",16,4.84,16.13,6.45,14.52,0,6.45,6.45,45.16,11.29,648,394.9,296.8,415.7,NA,1279.7,424,631.7,NA
