construct,genotype,mouse_id,session_nr,block_nr,trial_nr,trialtype,UR norm,validity,CR onset,CR peakamp,CR peaktime,CR hp amp,CR hp time,ISI peakamp,ISI peaktime,ISI hp amp,ISI hp time,Amp at time X,No peaks CR,No peaks ISI,FFT
c57bl6cage,ce,2710,2,1,11,csonly_280ms,1.224,valid,,,,,,-0.024,625,-0.025,510,-0.042,0,10,
c57bl6cage,ce,2710,2,2,11,csonly_280ms,1.224,valid,,,,,,-0.034,560,-0.034,560,-0.043,0,13,
c57bl6cage,ce,2710,2,3,11,csonly_280ms,1.224,valid,,,,,,-0.012,1360,-0.012,1360,-0.037,0,23,
c57bl6cage,ce,2710,2,4,11,csonly_280ms,1.224,valid,,,,,,-0.013,515,-0.015,510,-0.08,0,24,
c57bl6cage,ce,2710,2,5,11,csonly_280ms,1.224,valid,,,,,,-0.02,560,-0.02,560,-0.069,0,25,
c57bl6cage,ce,2710,2,6,11,csonly_280ms,1.224,invalid,500,,,0.585,510,-0.247,685,0.585,510,-0.281,0,21,
c57bl6cage,ce,2710,2,7,11,csonly_280ms,1.224,valid,,,,,,-0.013,585,-0.014,540,-0.022,0,24,
c57bl6cage,ce,2710,2,8,11,csonly_280ms,1.224,valid,,,,,,-0.075,528.3,-0.067,510,-0.116,0,26,
c57bl6cage,ce,2710,2,9,11,csonly_280ms,1.224,valid,,,,,,-0.015,570,-0.015,570,-0.056,0,23,
c57bl6cage,ce,2710,2,10,11,csonly_280ms,1.224,valid,,,,,,-0.026,540,-0.026,540,-0.034,0,24,
c57bl6cage,ce,2710,2,11,11,csonly_280ms,1.224,valid,,,,,,-0.013,530,-0.013,510,-0.013,0,29,
c57bl6cage,ce,2710,2,12,11,csonly_280ms,1.224,valid,,,,,,-0.041,595,0.047,510,-0.272,0,19,
c57bl6cage,ce,2710,2,13,11,csonly_280ms,1.224,valid,,,,,,-0.011,845,-0.012,720,-0.021,0,12,
c57bl6cage,ce,2710,2,14,11,csonly_280ms,1.224,valid,,,,,,-0.013,1075,-0.014,740,-0.022,0,19,
c57bl6cage,ce,2710,2,15,11,csonly_280ms,1.224,valid,,,,,,0.083,1428.6,0.082,1430,-0.098,0,31,
c57bl6cage,ce,2710,2,16,11,csonly_280ms,1.224,valid,530,0.111,1355,0.107,1350,0.111,1355,0.107,1350,0.018,1,29,
c57bl6cage,ce,2710,2,17,11,csonly_280ms,1.224,valid,,,,,,-0.012,530,-0.012,530,-0.037,0,27,
c57bl6cage,ce,2710,2,18,11,csonly_280ms,1.224,valid,,,,,,0.02,1355,0.019,1350,-0.022,0,12,
c57bl6cage,ce,2710,2,19,11,csonly_280ms,1.224,valid,,,,,,-0.005,550,-0.005,550,-0.014,0,27,
c57bl6cage,ce,2710,2,20,11,csonly_280ms,1.224,invalid,500,,,1.27,510,-0.213,1035,1.27,510,-0.511,0,17,
c57bl6cage,ce,2710,3,1,11,csonly_280ms,0.745,valid,,,,,,0.078,767.5,0.076,770,-0.018,0,28,
c57bl6cage,ce,2710,3,2,11,csonly_280ms,0.745,valid,,,,,,-0.029,905,-0.03,900,-0.044,0,3,
c57bl6cage,ce,2710,3,3,11,csonly_280ms,0.745,valid,610,0.191,1420,0.191,1420,0.191,1420,0.191,1420,-0.118,7,16,135.3
c57bl6cage,ce,2710,3,4,11,csonly_280ms,0.745,valid,,,,,,-0.038,1000,-0.038,1000,-0.051,0,1,
c57bl6cage,ce,2710,3,5,11,csonly_280ms,0.745,valid,990,0.119,1445,0.116,1440,0.119,1445,0.116,1440,-0.018,2,22,500
c57bl6cage,ce,2710,3,6,11,csonly_280ms,0.745,valid,,,,,,-0.01,1235,-0.012,1230,-0.106,0,29,
c57bl6cage,ce,2710,3,7,11,csonly_280ms,0.745,valid,,,,,,-0.04,615,-0.042,510,-0.055,0,7,
c57bl6cage,ce,2710,3,8,11,csonly_280ms,0.745,valid,,,,,,-0.027,530,-0.027,530,-0.027,0,24,
c57bl6cage,ce,2710,3,9,11,csonly_280ms,0.745,valid,,,,,,-0.032,870,-0.032,870,-0.045,0,25,
c57bl6cage,ce,2710,3,10,11,csonly_280ms,0.745,invalid,610,0.217,535,0.216,510,0.217,535,0.216,510,0.028,3,10,333.3
c57bl6cage,ce,2710,3,11,11,csonly_280ms,0.745,valid,,,,,,-0.032,775,-0.034,770,-0.047,0,18,
c57bl6cage,ce,2710,3,12,11,csonly_280ms,0.745,valid,,,,,,-0.042,905,-0.044,510,-0.044,0,18,
c57bl6cage,ce,2710,3,13,11,csonly_280ms,0.745,valid,,,,,,-0.09,775,-0.092,740,-0.105,0,14,
c57bl6cage,ce,2710,3,14,11,csonly_280ms,0.745,invalid,,,,,,0.036,1445,0.035,1440,-0.113,0,19,
c57bl6cage,ce,2710,3,15,11,csonly_280ms,0.745,invalid,,,,,,-0.222,520,-0.222,520,-0.476,0,24,
c57bl6cage,ce,2710,3,16,11,csonly_280ms,0.745,valid,,,,,,-0.043,665,-0.045,510,-0.045,0,7,
